rank,event,drug_a,drug_b,a_name,b_name,prob_mean,prob_mean_raw,u_mean,r,semantic_overlap,evidence_auto,evidence_pmids,evidence_note
1,The risk or severity of hypertension decrease,DB09239,DB00388,Dexniguldipine,Phenylephrine,0.6395978885788576,0.685225402,0.629549076,0.2538423833191714,yes,class_suggested,42599647,Phenylephrine 为 α1 激动剂升压药，其升压作用可被拮抗（文献42599647，标题“Alterations in arterial pressure waveform morphology following volume loading versus vasopressor administration in criti”）。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
1,The absorption decrease,DB01235,DB09089,Levodopa,Trimebutine,0.6263529936957928,0.6672557259999999,0.665488256,0.2232048765982461,no,class_suggested,42413884,左旋多巴在小肠吸收，胃肠动力/排空改变可减少其吸收（文献42413884，标题“Ageing-driven gastrointestinal variability in Parkinson's disease: implications for oral levodopa pharmacokinetics and f”）。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
1,The serum concentration of the active metabolites increase,DB01151,DB01151,Desipramine,Desipramine,0.6228450241757301,0.662912512,0.674174772,0.2159936203664527,yes,class_suggested,"28520379, 39452902",Desipramine 既是活性代谢物（imipramine 经 CYP 代谢生成）也是 CYP2D6 底物，其血浆浓度受 CYP2D6 活性影响（文献28520379/39452902，标题“Imipramine Therapy and CYP2D6 and CYP2C19 Genotype.”）；同一药物两侧：Desipramine 同时承担母药与活性代谢物角色，血浆浓度均受 CYP2D6 活性影响（文献28520379/39452902，标题“Imipramine Therapy and CYP2D6 and CYP2C19 Genotype.”）。Desipramine 为 CYP2D6 底物与活性代谢物角色；CYP2D6 活性降低可提高其（及母药）血浆浓度。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
1,the neuromuscular blocking activities decrease,DB00871,DB01338,Terbutaline,Pipecuronium,0.6138854872346723,0.6517028220000001,0.6965942380000001,0.1977303913064603,yes,none,,未检索到支持该事件方向的 direct/类别级机制证据
1,The risk or severity of renal failure hypotension and hyperkalemia increase,DB11827,DB00881,Ertugliflozin,Quinapril,0.6143073284142034,0.6513082640000001,0.697382086,0.1970975482226413,yes,class_suggested,41994768,SGLT2 抑制剂（Ertugliflozin）渗透性利尿→容量不足/低血压，加重肾脏低灌注（文献41994768，标题“Sodium-Glucose Cotransporter-2 Inhibitors Across the Glycemic Spectrum: Cardiovascular and Renal Outcomes With Mechanist”）。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
1,The risk or severity of renal failure increase,DB14006,DB00178,,Ramipril,0.6092357933701653,0.644961488,0.710058848,0.1870008768263542,yes,none,,未检索到支持该事件方向的 direct/类别级机制证据
1,The risk or severity of QTc prolongation and hypotension increase,DB00199,DB09239,Erythromycin,Dexniguldipine,0.5923355672530569,0.623343384,0.753309988,0.1537725868790805,yes,class_suggested,41896159,Erythromycin 为已知 QTc 延长/尖端扭转型室速药物（hERG 阻滞）（文献41896159，标题“Drug-associated torsades de pointes and QT prolongation in infants: A focused real-world disproportionality analysis pha”）。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
1,the stimulatory activities decrease,DB06077,DB01255,Lumateperone,Lisdexamfetamine,0.5908277516498671,0.621579934,0.756820322,0.1511556082013812,yes,class_suggested,"42455478, 41880832, 42012868",Lumateperone 为抗精神病药，同时调节 5-HT/多巴胺/谷氨酸神经传递（含多巴胺能机制）（文献42455478/41880832，标题“Safety and Tolerability of Adjunctive Lumateperone for the Treatment of Major Depressive Disorder: A Pooled Analysis of ”）；Lisdexamfetamine 为苯丙胺类中枢兴奋剂，具拟交感刺激活性（文献42012868，标题“Sympathomimetic Overdose With Lisdexamfetamine in a Pediatric Patient Resulting in Stress Cardiomyopathy-A Case Report.”）。Lumateperone 的多巴胺能调节作用可减弱 Lisdexamfetamine（苯丙胺类兴奋剂）的中枢刺激活性。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
1,The risk or severity of angioedema increase,DB01261,DB06203,Sitagliptin,Alogliptin,0.5875032889424658,0.616319894,0.76735518,0.143383630802049,no,class_suggested,"39773243, 29939586",Sitagliptin（DPP-4 抑制剂）与血管性水肿相关（文献39773243，标题“Interaction between dipeptidyl-peptidase-4 inhibitors and drugs acting on renin angiotensin aldosterone system for the r”）；Alogliptin（DPP-4 抑制剂）同类——同类相加（文献39773243/29939586，标题“Interaction between dipeptidyl-peptidase-4 inhibitors and drugs acting on renin angiotensin aldosterone system for the r”）。Sitagliptin 与 Alogliptin 同为 DPP-4 抑制剂，同类叠加增加血管性水肿风险。（类别级推断：所引为单药机制文献，非两药合用直接证据。）
1,The risk or severity of myopathy and weakness increase,DB11156,DB01222,Pyrantel,Budesonide,0.3771831535174574,0.341088566,0.5817095560000001,0.1426740877154632,no,none,,未检索到支持该事件方向的 direct/类别级机制证据
